TOPICS,Question,Option A,Option B,Option C,Option D,Correct Answer
Advanced data structures,What is the space complexity of a trie storing n keys (k = average key length)?,O(n*k),O(n),O(k),O(log n),A
Advanced data structures,Which structure supports efficient range queries?,Segment Tree,Stack,Queue,Linked List,A
Advanced data structures,How many children can a node have in a 2-3 tree?,2 or 3,2,3,4,A
Advanced data structures,What is the height of a perfectly balanced binary tree with n nodes?,log2(n+1),n,n/log n,log n,A
Advanced data structures,What is the time complexity of inserting in a hash table (with chaining)?,O(1),O(log n),O(n),O(n log n),A
Advanced data structures,What mainly causes collisions in hashing?,Same index for different keys,Similar data,Data ordering,Bad hash function,A
Advanced data structures,What is double hashing?,Collision resolution technique,Binary search,Alternative to arrays,Sorting algorithm,A
Advanced data structures,Which is NOT a method for collision handling?,Separate chaining,Open addressing,Linear probing,Bubble chaining,D
Advanced data structures,"In a splay tree, how is a recently accessed node moved to the root?",Rotations,Rebuilding tree,Swapping nodes,None,A
Advanced data structures,What is the main advantage of a suffix tree?,Efficient substring queries,Sorting data,Balanced searches,Memory efficient,A
Advanced data structures,Which is NOT an application of tries?,Spell checking,IP routing,DB indexing,Arithmetic calculations,D
Advanced data structures,A Fenwick Tree is used to perform which operation efficiently?,Prefix sums,Sorting,Searching,Dynamic allocation,A
Advanced data structures,What’s the complexity to update a Fenwick Tree?,O(log n),O(n),O(1),O(n log n),A
Advanced data structures,AVL trees maintain which property?,Heap property,balance factor,Binary Search Tree property,Left child > right,B
Advanced data structures,Which structure is used in interval trees?,Augmented BST,Heap,Trie,Hash Table,A
Advanced data structures,Which of these is NOT a self-balancing tree?,Splay Tree,Red-Black Tree,BST,AVL Tree,C
Advanced data structures,"In a pairing heap, what is the main operation?",Meld/merge,Insert,Delete min,Extract,A
Advanced data structures,Which heap structure has better amortized performance for decrease-key?,Fibonacci heap,Binary heap,Binomial heap,Pairing heap,A
Advanced data structures,Which structure stores data in compressed format via common prefixes?,Trie,Huffman tree,Binary heap,Segment tree,A
Advanced data structures,What is the main challenge in implementing hash tables?,Handling collisions,Resizing,Storing keys,Ordering inserts,A
Advanced data structures,What is a Ternary Search Tree used for?,Efficient string searching,Syntax parsing,Scheduling,Memory allocation,A
Advanced data structures,Which supports efficient substring search?,Suffix Tree,Red-Black Tree,AVL Tree,B-Tree,A
Advanced data structures,What is the goal of dynamic perfect hashing?,Constant time search,Constant space,Hash collisions,Minimal insertions,A
Advanced data structures,What is used to detect cycles in an undirected graph?,Disjoint Set Union,BFS,DFS,Stack,A
Advanced data structures,Which structure is suitable for LRU cache implementation?,Linked Hash Map,Tree Map,AVL Tree,Hash Set,A
Advanced data structures,What balance rule does Red-Black Tree maintain?,No two adjacent red nodes,Left and right subtrees height diff ?1,Root always black,None,A
Advanced data structures,Worst-case height of a Red-Black tree?,2 * log(n+1),log n,n,n/2,A
Advanced data structures,Core van Emde Boas tree operation?,Fast pred/succ search,Sorting,Prefix sums,String matching,A
Advanced data structures,What is true about B+ trees?,All keys in leaves,Keys only in internal,No duplicates,Fixed height,A
Advanced data structures,"For fast-melding priority queue, use?",Binomial heap,Binary heap,Fibonacci heap,Leftist heap,C
Advanced data structures,Which tree uses rank and null path length to maintain balance?,Leftist heap,Binary heap,AVL Tree,Red-Black tree,A
Advanced data structures,Main advantage of Binary Indexed Tree (Fenwick Tree)?,Prefix sums efficiency,Faster insertions,Balanced trees,Easy code,A
Advanced data structures,Structure for network routing tables (IP addresses)?,Trie,Hash Table,Linked List,BST,A
Advanced data structures,Time complexity of insertion in red-black tree?,O(log n),O(n),O(1),O(n log n),A
Advanced data structures,Quick finding of Lowest Common Ancestor (LCA)?,Segment Tree,Sparse Table,Fenwick Tree,AVL Tree,B
Advanced data structures,Path compression in disjoint set:,Flattening the tree,Balancing the tree,Caching,Precomputing,A
Advanced data structures,2-3 tree vs. B-tree: main difference?,B-tree order variable,2-3 has 2 or 3 kids,Same trees,2-3 not balanced,B
Advanced data structures,Open addressing:,Sequence of probes after collision,Linked lists,Direct chaining,None,A
Advanced data structures,DNA substring search is best using?,Suffix tree,Trie,Hash Table,BST,A
Advanced data structures,Trie node with 26 children:,Trie,BST,AVL Tree,B-tree,A
Advanced data structures,Main benefit of doubly over singly linked list?,Both-way traversal,Less memory,Faster search,Easier to code,A
Advanced data structures,Structure to represent expressions in compilers?,Expression Trees,Hash Map,Linked List,Stack,A
Advanced data structures,Which trees are best for interval queries?,Segment Trees,AVL Trees,BST,B-Trees,A
Advanced data structures,Term for fast retrieval data structure?,Index,Cache,Stack,Queue,A
Advanced data structures,Which kind of tree enables persistence (time travel queries)?,Persistent Tree,AVL Tree,BST,Heap,A
Advanced data structures,What is the main use case for a Disjoint Set (Union-Find)?,Connected components,Fast sorting,Sparse matrices,Searching,A
Advanced data structures,Which data structure enables sublinear predecessor/successor search among integers?,van Emde Boas tree,AVL tree,Skip list,Heap,A
Advanced data structures,Key feature of a Pairing Heap?,Easy meld operation,Balanced structure,O(1) minimum delete,Uses hash maps,A
Advanced data structures,Which tree generalizes BST with node degrees > 2?,B-tree,AVL tree,Red-Black Tree,Segment Tree,A
Advanced data structures,Trie: primary use?,Prefix match,Sorting Strings,Set Union,Frequent insertions,A
Advanced data structures,How are Segment Trees used in range query?,Store intervals,Node counting,Balances heights,Only leaf data,A
Advanced data structures,Density in Skip List is controlled by?,Probability value,Pointer size,Node color,Table size,A
Advanced data structures,Suffix Tree edge labels use?,Substrings reference,Node pointers,Parent link,Sibling ordering,A
Advanced data structures,Hash Table collision handled by open addressing uses?,Probe sequence,Buckets,Chaining,Recursion,A
Advanced data structures,What is the load factor in a Hash Table?,n/buckets,n-1,n+1,log(n),A
Advanced data structures,Worst-case Hash Table search time (with chaining)?,O(n),O(1),O(log n),O(n log n),A
Advanced data structures,Which structure supports orthogonal range search?,Range trees,Stack,Queue,Single BST,A
Advanced data structures,Which heap shape always maintains complete binary tree?,Binary Heap,AVL Heap,Pairing Heap,Splay Heap,A
Advanced data structures,Splay Tree: main balancing strategy?,After every access,Only on insert,Fixed height,Only after delete,A
Advanced data structures,What’s a Bloom Filter used for?,Probabilistic membership test,Fast heap insertions,Range queries,Optimal prefix search,A
Advanced data structures,Which technique efficiently answers RMQ (Range Minimum Query)?,Segment Tree,Heap,Queue,Stack,A
Advanced data structures,Suffix Automaton use case?,Fast substring queries,Tree balances,Key-based successor,Fixed length map,A
Advanced data structures,Which heap property allows for efficient element decrease-key?,Fibonacci heap,AVL Heap,Binary Min Heap,B-Tree,A
Advanced data structures,What is Link/Cut Tree designed for?,Dynamic tree connectivity,String processing,AVL balancing,Hash mapping,A
,,,,,,
,,,,,,
DAA,What does DAA stand for?,Design and Analysis of Algorithms,Data and Arithmetic Algorithms,Dynamic Abstract Architecture,Data Algorithm Analysis,A
DAA,Which analysis finds time before code execution?,Priori analysis,Posteriori analysis,Dynamic analysis,Static analysis,A
DAA,Which of these is not an asymptotic notation?,Theta,Phi,Big O,Omega,B
DAA,What is the time complexity of binary search?,O(log n),O(n),O(n^2),O(n log n),A
DAA,Which notation gives the upper bound in DAA?,Big O,Omega,Theta,Alpha,A
DAA,Which sorting has the best worst-case complexity?,Merge sort,Bubble sort,Selection sort,Insertion sort,A
DAA,What is space complexity?,Space required to run,RAM only,CPU only,Complexity of time,A
DAA,Which is NOT a divide and conquer algorithm?,Binary search,Merge sort,Quick sort,Dijkstra's algorithm,D
DAA,Which of these algorithms is greedy?,Kruskal’s,Bubble sort,Radix sort,Binary search,A
DAA,What is the complexity of linear search?,O(n),O(log n),O(1),O(n^2),A
DAA,Which is NOT used for complexity analysis?,Best case,Average case,Normal case,Worst case,C
DAA,What is the recurrence for merge sort?,T(n) = 2T(n/2) + O(n),T(n) = T(n-1) + 1,T(n) = nT(n-1) + n,T(n) = T(n/2) + n^2,A
DAA,Which searching technique requires a sorted list?,Binary search,Linear search,Random search,Hash search,A
DAA,What is the smallest time complexity among the following?,O(1),O(n),O(n log n),O(n^2),A
DAA,Which of these finds the shortest path in a weighted graph?,Dijkstra’s algorithm,BFS,DFS,Kruskal’s,A
DAA,What is the key idea in dynamic programming?,Overlapping subproblems,Sorting only,Use of stack,Divide and conquer,A
DAA,The knapsack problem is best solved using:,Dynamic programming,Greedy,Divide and conquer,Backtracking,A
DAA,Which problem is NP-complete?,Travelling salesman,Bubble sort,BFS,Tower of Hanoi,A
DAA,For which problem is Greedy optimal?,Fractional knapsack,Coin Change (all coins),Job sequencing (non-preemptive),All of the above,D
DAA,What does the “critical path” in DAA refer to?,Longest path in a DAG,Shortest path,Any random path,All paths,A
DAA,Recursion is most commonly implemented using:,Stack,Queue,Heap,Tree,A
DAA,The time complexity of Bubble sort is:,O(n^2),O(1),O(log n),O(n log n),A
DAA,Which of these problems is solved by backtracking?,N-Queens,Binary search,Merge sort,BFS,A
DAA,Which is false for Kruskal’s algorithm?,It finds MST,Uses Union-Find,May create cycles,Greedy technique,C
DAA,What’s the worst-case for searching in a hash table with chaining?,O(n),O(1),O(log n),O(n log n),A
DAA,What approach is best for matrix chain multiplication?,Dynamic programming,Divide and conquer,Greedy,Brute force,A
DAA,What’s the time complexity for Sieve of Eratosthenes?,O(n log log n),O(n log n),O(n^2),O(log n),A
DAA,What is the Master Theorem used for?,Solve recurrences,Dynamic Programming,Sorting,Hashing,A
DAA,Which of these is not a common asymptotic notation?,Alpha,Omega,O (Big O),Theta,A
DAA,What is the minimum number of edges in a connected graph with n vertices?,n-1,n,n+1,n^2,A
DAA,What is “memoization”?,Caching subproblem answers,Memory allocation,Allocation of arrays,Using stacks,A
DAA,Which best describes NP-hard problems?,At least as hard as NP-complete,All are polynomial,Easy to solve,NP-easy,A
DAA,What does the “Big Theta” notation represent?,Tight bound,Upper bound,Lower bound,No bound,A
DAA,Which data structure is used in BFS?,Queue,Stack,Heap,Tree,A
DAA,What does a decision tree represent in DAA?,Flow of decisions,Algorithm complexity,Number of recursions,Time bounds,A
DAA,What is backtracking?,Tries all possibilities,Runs backward always,Solves only graphs,None,A
DAA,What is complexity of binary search tree average search?,O(log n),O(n),O(1),O(n^2),A
DAA,Which is true for Prim's algorithm?,MST using Greedy,Stack-based,Uses cycles,All the above,A
DAA,The time complexity of Merge sort is?,O(n log n),O(n),O(n^2),O(log n),A
DAA,Which of these does not guarantee the optimal solution always?,Greedy,Dynamic Programming,Brute force,None of these,A
DAA,Floyd-Warshall is used for,All-pairs shortest paths,Prim’s MST,Sorting,Greedy scheduling,A
DAA,Which of these is not a dynamic programming problem?,Quick Sort,Matrix Chain Multiplication,Longest Common Subsequence,0-1 Knapsack,A
DAA,What is the best case complexity of quick sort?,O(n log n),O(n^2),O(log n),O(n),A
DAA,Which problem cannot be solved in polynomial time?,NP-complete,P,MST,Linear search,A
DAA,What is the main feature of greedy algorithms?,Locally optimal at each step,Global optimal only,Recursion,Always backtracking,A
DAA,The chromatic number of a graph is:,Minimum colors for coloring,Maximum edges,Minimum vertices,Maximum degree,A
DAA,Which algorithm is used for minimum spanning tree?,Kruskal's,DFS,Binary search,Boyer-Moore,A
DAA,What is the complexity of selection sort?,O(n^2),O(n log n),O(n),O(log n),A
DAA,Which approach is used by Tower of Hanoi?,Recursion,Iteration,Dynamic Programming,Greedy,A
DAA,What is the traveling salesman problem?,Find minimum cost Hamiltonian cycle,Find all spanning trees,Greedy spanning tree,Find maximum path,A
DAA,Which of these uses top-down approach?,Recursion,Dynamic Programming,Divide and Conquer,Backtracking,A
DAA,What is the Big O of the best sorting algorithm in average case?,O(n log n),O(n^2),O(n),O(log n),A
DAA,Hill climbing is an example of:,Local search,Divide & conquer,Exhaustive search,Brute force,A
DAA,Which is NOT a property of DFS?,Uses a queue,Finds cycles,Depth traversal,May use recursion,A
DAA,What is time complexity to traverse all nodes in a binary tree?,O(n),O(log n),O(n^2),O(n log n),A
DAA,Which technique does matrix multiplication use?,Dynamic Programming,Greedy,Brute force,Hashing,A
DAA,What does NP stand for?,Non-deterministic Polynomial,Non-polynomial,Normal Polynomial,Null Polynomial,A
DAA,Dijkstra’s algorithm fails on:,Negative weight edges,Unweighted graphs,Sparse graphs,Small graphs,A
DAA,Which is NOT a string matching algorithm?,Quick sort,Rabin-Karp,Boyer-Moore,Naive,A
DAA,"In dynamic programming, the problem is divided into:",Overlapping subproblems,Non-overlapping,Unrelated problems,Only trivial subproblems,A
DAA,What is transitive closure of a graph?,Reachability of nodes,MST,DFS,All-pair shortest paths,A
DAA,What is complexity of best-case linear search?,O(1),O(n),O(log n),O(n^2),A
DAA,The “Longest Common Subsequence” is solved using:,Dynamic Programming,Greedy,Divide and Conquer,Brute Force,A
DAA,Which is NOT a greedy choice property?,Locally optimal,Recursion only,Irrevocable choice,Greedy step,B
DAA,Which of these can be exponential time?,Backtracking,Merge sort,Quick sort,Heap sort,A
DAA,A recurrence relation is:,An equation for T(n),Sorting formula,Order of recursion,Stack depth,A
DAA,Kruskal’s algorithm sorts edges by:,Weight,Degree,Random order,Vertex label,A
DAA,What is true for topological sorting?,Only for DAGs,For forests,For cycles,Only for trees,A
DAA,Bellman-Ford finds:,Shortest path (with negatives),MST,Strong connectivity,Cycles in trees,A
DAA,Which is NOT an optimal substructure property?,Uses only local information,Solves smaller subproblems,Combines solutions,Forms larger solution,A
DAA,What is used to solve subproblems optimally and combine them for global solution?,Dynamic Programming,Greedy,Recursion,Searching,A
DAA,Which complexity is O(n log n)?,Merge sort,Bubble sort,Linear search,Selection sort,A
DAA,Which data structure is used in Prim's algorithm?,Min Heap,Max Heap,Stack,Tree,A
DAA,What kind of algorithm is Floyd-Warshall?,Dynamic Programming,Greedy,Divide and conquer,None of these,A
DAA,Which is NOT required for divide and conquer?,Overlapping subproblems,Divide,Combine,Solve,A
DAA,Which approach is used in Quick sort?,Divide and conquer,Dynamic Programming,Greedy,All of these,A
DAA,"If a problem can be solved in polynomial time, it belongs to:",P,NP Hard,NP complete,None,A
DAA,Complexity class “NP-complete” is:,Hardest in NP,Easiest in NP,In P,Not a class,A
DAA,Which of these is not a characteristic of dynamic programming?,Solves each subproblem only once,Solves subproblems recursively,Uses solution table,All use stacks,D
DAA,The Bellman-Ford algorithm can handle:,Negative weights,Only positive weights,Trees only,Cycles only,A
DAA,Which is true about BFS and DFS?,"BFS uses queue, DFS uses stack",Both use stacks,Both use recursion,BFS for MST,A
DAA,"The best case time of insertion sort is O(n), it occurs when:",List is already sorted,All values same,List is in reverse order,No swaps needed,A
DAA,Which graph algorithm allows cycles?,DFS and BFS,Topological Sort,Prim's,None of these,A
DAA,Dynamic Programming is mostly used for:,Optimization problems,Sorting,Searching,Encryption,A
DAA,What is the Travelling Salesman Problem’s complexity?,O(n!),O(n^2),O(n log n),O(log n),A
DAA,Which is NOT part of algorithm design paradigms?,Triangulation,Divide and conquer,Dynamic programming,Greedy,A
DAA,Breadth-First Search is most suitable for:,Finding shortest path in unweighted graph,DFS only,Sorting,Merging,A
DAA,What is path compression in Disjoint Set?,Flattens tree for quick find,Combines nodes,Uses hash tables,Slows union,A
DAA,Which is the correct recursive relation for binary search?,T(n) = T(n/2) + c,T(n) = T(n) + 1,T(n) = T(n-1) + n,T(n) = nT(n-1) + n,A
DAA,Polynomial time has an upper bound of:,n^k for some k,log n,n!,2^n,A
DAA,Greedy algorithms use:,Locally optimal solutions,Only global solution,All possible solutions,No order,A
DAA,Bellman-Ford complexity for V vertices and E edges:,O(VE),O(V^2),O(V+E),O(E^2),A
DAA,What is MST?,Minimum Spanning Tree,Maximum Subtree,Median Sort Tree,Multi-Source Tree,A
DAA,Which paradigm solves “overlapping subproblems” efficiently?,Dynamic Programming,Greedy,Divide and Conquer,Brute Force,A
DAA,The shortest path from one source to all vertices with negative weights is found by:,Bellman-Ford,Dijkstra,Kruskal,Prim,A
DAA,Prim’s and Kruskal’s both find:,Minimum Spanning Tree,Shortest path,Sorting,Maximum Matching,A
DAA,Which is used for 0-1 knapsack?,Dynamic Programming,Greedy,Divide and Conquer,Searching,A
DAA,“P = NP?” is:,Unsolved problem,Proved true,Proved false,Not relevant,A
DAA,KMP algorithm is used for,String matching,Sorting,Shortest path,MST,A
DAA,The optimal cost of a matrix chain multiplication is stored in:,Table,List,Array,Heap,A
DAA,Dynamic programming builds solution in:,Bottom up,Top down,Middle out,Random,A
DAA,The knapsack problem with fractional items is solved optimally by:,Greedy,Dynamic Programming,Backtracking,Brute force,A
,,,,,,
,,,,,,
DBMS,Which language is used to define a database schema?,DDL,DML,DCL,QL,A
DBMS,What does SQL stand for?,Structured Query Language,Sequential Query Language,Simple Question Language,Script Query Language,A
DBMS,Which normal form eliminates partial dependency?,2NF,3NF,1NF,BCNF,A
DBMS,What is a primary key?,Unique identifier,Duplicate value,Aggregate function,Subkey,A
DBMS,Which is a non-procedural language?,SQL,C,Java,Python,A
DBMS,What does ACID stand for in DBMS?,"Atomicity, Consistency, Isolation, Durability","Algorithm, Consistency, Inconsistency, Data","Algebra, Connection, Isolation, Durability","Array, Consistency, Integrity, Datalog",A
DBMS,Which language is for manipulation of data?,DML,DQL,DDL,DCL,A
DBMS,Which command is used to remove a table from a database?,DROP,DELETE,REMOVE,ERASE,A
DBMS,What is a foreign key?,References another table,Unique row identifier,Unique in a table,Same as primary key,A
DBMS,Which SQL statement is used to extract data from a database?,SELECT,GET,EXTRACT,OPEN,A
DBMS,Which key uniquely identifies each row?,Primary key,Alternate key,Secondary key,Foreign key,A
DBMS,Which normal form deals with transitive dependency?,3NF,2NF,1NF,4NF,A
DBMS,What is normalization?,Process to minimize redundancy,Security method,Data insertion,A kind of key,A
DBMS,What is a tuple in DBMS?,Row,Table,Column,Scheme,A
DBMS,A relation is in 1NF if:,Atomic values only,All rows are unique,All attributes have unique names,No partial dependency,A
DBMS,Which is not a JOIN in SQL?,CROSS,OUTER,INNER,UPPER,D
DBMS,What command changes values in rows?,UPDATE,SET,ALTER,MODIFY,A
DBMS,What does RDBMS stand for?,Relational Database Management System,Random DBMS,Regional DBMS,Relational Data Sort,A
DBMS,Which command is used to add new data?,INSERT,ADD,POST,NEW,A
DBMS,What does DCL stand for?,Data Control Language,Data Compilation Language,Database Command List,Data Column Language,A
DBMS,Which is NOT an aggregate function?,SUM,AVG,TOTAL,MIN,C
DBMS,Who is responsible for database security and authorization?,DBA,User,Database Agent,Developer,A
DBMS,What is a view in SQL?,Virtual table,Schema,Command,Real table,A
DBMS,Which clause is used for grouping records?,GROUP BY,GROUP ON,COLLECT,CLASSIFY,A
DBMS,Which type of key can accept null values?,Foreign key,Primary key,Super key,Candidate key,A
DBMS,What is denormalization?,Reverse of normalization,Normalizing further,Deleting tables,Dropping PK,A
DBMS,Who controls concurrency in DBMS?,Lock Manager,Query Processor,Buffer Manager,DBA,A
DBMS,Which operation is not supported by views?,Insert (in some cases),Select,Join,Projection,A
DBMS,What is a transaction?,Logical unit of work,Security process,Manager operation,Data duplication,A
DBMS,Which type of join combines all rows from both tables?,FULL OUTER JOIN,INNER JOIN,CROSS JOIN,LEFT JOIN,A
DBMS,Which integrity ensures that a value in one table matches value in another?,Referential,Entity,Domain,Row,A
DBMS,What does a NULL in database mean?,Unknown or missing value,Zero,Space,-1,A
DBMS,Which SQL clause is used to eliminate duplicate records?,DISTINCT,UNIQUE,DELETE,REMOVE,A
DBMS,Which is used for backup and restoration?,Transaction log,Data file,Index,Synonym,A
DBMS,Which statement deletes all records (but not the table structure)?,DELETE,ERASE,DROP,REMOVE,A
DBMS,Which lock allows other read but not write?,Shared lock,Exclusive lock,Dirty lock,Write lock,A
DBMS,Which is NOT a constraint in SQL?,UNIQUE,CHECK,FILTER,PRIMARY KEY,C
DBMS,A candidate key is:,Any unique combination of columns,Always PK,Always FK,All keys in a table,A
DBMS,What is an entity set?,Collection of similar entities,Single value,Data tuple,Relation,A
DBMS,Which operator is used in pattern matching?,LIKE,MATCH,PATTERN,COMPARE,A
DBMS,Which normalization form removes multivalued dependency?,4NF,5NF,2NF,1NF,A
DBMS,What is schema in DBMS?,Structure of database,Query result,Table row,Data value,A
DBMS,Which is a property of relational tables?,Rows unordered,Unique columns,No null values,Single PK,A
DBMS,Which command is used to grant permissions?,GRANT,ALLOW,ENABLE,PERMIT,A
DBMS,Which model uses ER diagrams?,Entity-Relationship model,Network model,Hierarchical model,Object model,A
DBMS,Which file keeps track of all modifications in DBMS?,Log file,Temp file,Data file,Index file,A
DBMS,Which schedule does not preserve consistency?,Unserializable schedule,Serializable,Conflict serializable,All consistent schedules,A
DBMS,What does TCL stand for?,Transaction Control Language,Table Control Language,Total Column List,Table Configuration List,A
DBMS,Which clause filters groups in SQL?,HAVING,GROUP BY,WHERE,ORDER BY,A
DBMS,"In SQL, which joins rows with matching columns?",INNER JOIN,OUTER JOIN,SUB JOIN,SELF JOIN,A
DBMS,What is an index in DBMS?,Faster search structure,View,Join operation,Special key,A
DBMS,What is the default isolation level in most systems?,Read committed,Serializable,Read uncommitted,Repeatable read,A
DBMS,What is anomaly in DBMS?,Undesirable dependency,Row addition,Table merge,Security threat,A
DBMS,What is deadlock?,Two transactions waiting for each other,Hash collision,PK conflict,Continuous insertions,A
DBMS,Which is NOT a feature of NoSQL?,Fixed schema,Horizontal scaling,Unstructured data,CAP theorem,A
DBMS,What is the command to remove only structure (and all data)?,DROP,DELETE,ERASE,REMOVE,A
DBMS,Which is a process of making a backup copy of the database?,Dump,Duplicate,Copy,Restore,A
DBMS,Which of the following is not an SQL data type?,CURRENCY,VARCHAR,INT,FLOAT,A
DBMS,A minimal superkey is called?,Candidate key,Secondary key,Alternate key,Surrogate key,A
DBMS,What is a surrogate key?,Artificial unique key,Composite key,FK synonym,PK alias,A
DBMS,What is the degree of a relation?,Number of attributes,Number of rows,Max value,Number of PKs,A
DBMS,The operation intersection in relational algebra is denoted by?,?,?,×,–,A
DBMS,Which SQL command is used to remove a record permanently?,DELETE,TRUNCATE,REMOVE,DROP,A
DBMS,What is domain in DBMS?,Set of values for attribute,Table row,PK,Data warehouse,A
DBMS,"In SQL, which keyword sorts results?",ORDER BY,SORT,REORDER,GROUP BY,A
DBMS,What is BCNF?,Boyce-Codd Normal Form,Binary Consistency Normal Form,Base Class Normal Form,Boolean Condition NF,A
DBMS,What is the minimal set of attributes to identify a tuple?,Candidate key,PK,Composite key,FK,A
DBMS,Which of the following is not a relational algebra operation?,SELECT,UPDATE,PROJECT,RENAME,B
DBMS,The number of tuples in a relation is called?,Cardinality,Degree,Volume,Metric,A
DBMS,What is the name for a table in the relational model?,Relation,Row,Tuple,Record,A
DBMS,A many-to-many relationship is resolved by:,Bridge entity,Foreign key,Primary key,None,A
DBMS,What is referential integrity?,Foreign key matches PK,Unique column value,Only PK can be NULL,No check on FK,A
DBMS,What type of JOIN returns only rows with matches in both tables?,INNER JOIN,OUTER JOIN,LEFT JOIN,RIGHT JOIN,A
DBMS,"In SQL, which keyword is used to change structure?",ALTER,CHANGE,SET,UPDATE,A
DBMS,The process of converting ER model to table format is?,Mapping,Translating,Converting,Linking,A
DBMS,Locks released at end of transaction are called?,Commit point,Global lock,Local lock,Read lock,A
DBMS,What does ODBC stand for?,Open Database Connectivity,Offline DB Connect,Online Data Binding Connection,Object Database Connect,A
DBMS,Which command undoes all changes since the last commit?,ROLLBACK,REVERSE,UNDO,CANCEL,A
DBMS,Which is a join of a table with itself?,SELF JOIN,FULL JOIN,CROSS JOIN,PRIMARY JOIN,A
DBMS,Which is used for controlling access to a database?,Privileges,PK,FK,Check,A
DBMS,Which operation combines rows from two tables?,JOIN,PROJECT,SELECT,INTERSECT,A
DBMS,Which is not a type of database model?,Hierarchical,Relational,Functional,Network,C
DBMS,What is a trigger in DBMS?,Action on event,Primary key,Foreign key,Table query,A
DBMS,What represents a one-to-many relationship?,PK-FK,Unique key,Candidate key,Super key,A
DBMS,A transaction fails and the system is restored to a prior state. This is:,Rollback,Commit,Lock,Recovery,A
DBMS,Which schedule allows serializability?,Serializable,Unserializable,Inconsistent,Blind,A
DBMS,Which keyword is used to remove duplicates in SQL SELECT?,DISTINCT,UNIQUE,FILTER,CLEAR,A
DBMS,"In SQL, how do you count rows?",COUNT(*),SUM(*),ROWCOUNT(),TOTAL(),A
DBMS,"What does ""HAVING"" do in SQL?",Filter groups,Sorts data,Joins tables,Alters schema,A
DBMS,Which is NOT a type of relationship in DBMS?,One-to-few,One-to-one,One-to-many,Many-to-many,A
DBMS,Which SQL command permanently removes a table?,DROP,DELETE,CLEAR,REMOVE,A
DBMS,Which is NOT a correct constraint in SQL?,SELECT,PRIMARY KEY,CHECK,UNIQUE,A
DBMS,The key that uniquely identifies records in database table is called:,Primary key,Candidate key,Alternate key,Foreign key,A
DBMS,The SQL command to remove all rows from a table and release space:,TRUNCATE,DELETE,DROP,ERASE,A
DBMS,SQL's command to change values in rows is:,UPDATE,MODIFY,CHANGE,ALTER,A
DBMS,Which is a property of transactions in DBMS?,Atomicity,Concurrency,Redundancy,Integrity,A
DBMS,What is meant by the degree of a relation?,Number of columns,Number of rows,Number of FKs,Value types,A
DBMS,The process of restoring a database after failure is called:,Recovery,Backup,Security,Rollback,A
,,,,,,
,,,,,,
TOC,What is a finite automaton?,Machine with infinite states,Automaton with finite states,Memoryless machine,Machine that learns,B
TOC,What does NFA stand for?,Nondeterministic Finite Automaton,New Finite Automaton,Nonfunctional Automaton,Numeric Finite Automaton,A
TOC,Which diagram represents states in automata?,Squares,Circles,Triangles,Diamonds,B
TOC,Epsilon transitions in NFA allow:,Empty string transitions,Only with input symbol,Accept only numbers,None of these,A
TOC,Which automaton recognizes regular languages?,DFA,PDA,Turing Machine,LBA,A
TOC,What is the minimum number of states required for a DFA accepting empty language?,1,0,2,n,A
TOC,Regular expressions can be converted to which automaton?,DFA,LBA,PDA,Turing Machine,A
TOC,Which language is not regular?,{a^n b^n,n ? 0},"{a, b}*",Strings with even a’s,Strings with no b’s
TOC,A context-free grammar is used to describe:,Context-free languages,Regular languages,Unrestricted languages,Context-sensitive languages,A
TOC,What is the Chomsky hierarchy lowest level?,Regular,Context-free,Context-sensitive,Recursively enumerable,A
TOC,Pushdown automata can recognize:,Context-free languages,All recursive languages,Regular languages,All programming languages,A
TOC,Which machine is strictly more powerful than DFA?,PDA,NFA,Both,None,A
TOC,A Turing Machine is used to prove:,Computability,Uncomputability,Both,None,C
TOC,What is the halting problem?,Turing undecidable,Regular problem,Context-free,Context-sensitive,A
TOC,Who introduced regular expressions?,Stephen Kleene,Alan Turing,Kurt Gödel,Chomsky,A
TOC,Moore and Mealy machines are:,FSM with outputs,FSM with memory,Non-deterministic,Infinite state machines,A
TOC,Language accepted by DFA is:,Always regular,Always context-free,Only empty,Always nonregular,A
TOC,Pumping lemma is used to prove:,Nonregularity,Context sensitivity,Recursion,Computability,A
TOC,Which of the following has stack memory?,PDA,DFA,NFA,LBA,A
TOC,Which statement is FALSE for regular languages?,Closed under reversal,Closed under union,Closed under intersection,Not closed under complement,D
TOC,Chomsky Normal Form is:,For context-free grammars,For regular grammars,For TMs,For DFAs,A
TOC,Which automaton handles context-sensitive languages?,LBA,PDA,DFA,NFA,A
TOC,Regular language cannot be recognized by:,Stack automaton,DFA,NFA,Regular Expression,A
TOC,"The set of all palindromes over {a,b} is:",Not regular,Regular,Context-free,Finite,A
TOC,Which of the following is decidable?,Regularity of a language,Halting Problem,Post Correspondence,All above,A
TOC,Language generated by S ? aSb,? is:,{a^n b^n,n?0},"{a, b}*",{a^n b^n c^n
TOC,Which symbol in grammar produces terminal directly?,Terminal,Start symbol,Non-terminal,Derivation,A
TOC,PDA accepts strings by:,Final state or empty stack,Initial state,Only empty string,Transition only,A
TOC,Pumping lemma fails for:,Context-free languages,Regular languages,Context-sensitive,Recursively enumerable,A
TOC,Which closure property is NOT true for regular languages?,Intersection,Complement,Union,Length-preserving inverse homomorphism,D
